ap,auc,checkpoint,hit1,hit3,mode,mrr
0.44877850324278895,0.5240476190476191,random,0.35714285714285715,0.7142857142857143,random,0.5583333333333333
0.4894063938706795,0.46595238095238095,anchor_tree_massive_ep1,0.7857142857142857,0.9285714285714286,l0,0.8673469387755102
0.5841203769775198,0.5583333333333333,anchor_tree_massive_ep1,0.8571428571428571,0.8571428571428571,path,0.8892857142857142
0.5479865570937,0.5538095238095238,anchor_tree_massive_ep1,0.8571428571428571,0.8571428571428571,cmul,0.8857142857142858
0.5485452708666994,0.5697619047619049,anchor_tree_massive_ep1,0.8571428571428571,0.8571428571428571,merge_no_bias,0.8928571428571429
0.5485452708666994,0.5697619047619049,anchor_tree_massive_ep1,0.8571428571428571,0.8571428571428571,tree,0.8928571428571429
0.5485452708666994,0.5697619047619049,anchor_tree_massive_ep1,0.8571428571428571,0.8571428571428571,centered_tree,0.8928571428571429
0.4894063938706795,0.46595238095238095,anchor_tree_massive_ep2,0.7857142857142857,0.9285714285714286,l0,0.8673469387755102
0.5841203769775198,0.5583333333333333,anchor_tree_massive_ep2,0.8571428571428571,0.8571428571428571,path,0.8892857142857142
0.5479865570937,0.5538095238095238,anchor_tree_massive_ep2,0.8571428571428571,0.8571428571428571,cmul,0.8857142857142858
0.5484525064882207,0.5697619047619048,anchor_tree_massive_ep2,0.8571428571428571,0.8571428571428571,merge_no_bias,0.8928571428571429
0.5484525064882207,0.5697619047619048,anchor_tree_massive_ep2,0.8571428571428571,0.8571428571428571,tree,0.8928571428571429
0.5484525064882207,0.5697619047619048,anchor_tree_massive_ep2,0.8571428571428571,0.8571428571428571,centered_tree,0.8928571428571429
0.4894063938706795,0.46595238095238095,anchor_tree_massive_ep3,0.7857142857142857,0.9285714285714286,l0,0.8673469387755102
0.5836441865013294,0.5569047619047619,anchor_tree_massive_ep3,0.8571428571428571,0.8571428571428571,path,0.886904761904762
0.5473516364587794,0.5523809523809523,anchor_tree_massive_ep3,0.8571428571428571,0.8571428571428571,cmul,0.8857142857142858
0.5482920584706298,0.5685714285714286,anchor_tree_massive_ep3,0.8571428571428571,0.8571428571428571,merge_no_bias,0.8928571428571429
0.5482920584706298,0.5685714285714286,anchor_tree_massive_ep3,0.8571428571428571,0.8571428571428571,tree,0.8928571428571429
0.5482920584706298,0.5685714285714286,anchor_tree_massive_ep3,0.8571428571428571,0.8571428571428571,centered_tree,0.8928571428571429
