2026/09/04 11:25:07.417, NVIDIA GeForce RTX 3090, 270.00 W, 159.34 W, 67, 1 MiB, 24576 MiB, 0 %
2026/09/04 11:25:09.421, NVIDIA GeForce RTX 3090, 270.00 W, 63.51 W, 59, 654 MiB, 24576 MiB, 0 %
2026/09/04 11:25:11.422, NVIDIA GeForce RTX 3090, 270.00 W, 167.98 W, 66, 1820 MiB, 24576 MiB, 24 %
2026/09/04 11:25:13.423, NVIDIA GeForce RTX 3090, 270.00 W, 182.88 W, 68, 2464 MiB, 24576 MiB, 21 %
2026/09/04 11:25:15.423, NVIDIA GeForce RTX 3090, 270.00 W, 197.29 W, 71, 2464 MiB, 24576 MiB, 28 %
2026/09/04 11:25:17.424, NVIDIA GeForce RTX 3090, 270.00 W, 217.80 W, 70, 2464 MiB, 24576 MiB, 42 %
2026/09/04 11:25:19.424, NVIDIA GeForce RTX 3090, 270.00 W, 194.45 W, 71, 2464 MiB, 24576 MiB, 26 %
2026/09/04 11:25:21.425, NVIDIA GeForce RTX 3090, 270.00 W, 229.09 W, 72, 2464 MiB, 24576 MiB, 3 %
2026/09/04 11:25:23.426, NVIDIA GeForce RTX 3090, 270.00 W, 223.12 W, 72, 2464 MiB, 24576 MiB, 27 %
2026/09/04 11:25:25.426, NVIDIA GeForce RTX 3090, 270.00 W, 224.81 W, 72, 2464 MiB, 24576 MiB, 26 %
2026/09/04 11:25:27.427, NVIDIA GeForce RTX 3090, 270.00 W, 224.90 W, 73, 2464 MiB, 24576 MiB, 38 %
2026/09/04 11:25:29.427, NVIDIA GeForce RTX 3090, 270.00 W, 227.79 W, 72, 2464 MiB, 24576 MiB, 14 %
2026/09/04 11:25:31.428, NVIDIA GeForce RTX 3090, 270.00 W, 195.15 W, 70, 2590 MiB, 24576 MiB, 33 %
2026/09/04 11:25:33.428, NVIDIA GeForce RTX 3090, 270.00 W, 222.42 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:25:35.429, NVIDIA GeForce RTX 3090, 270.00 W, 221.88 W, 72, 2590 MiB, 24576 MiB, 3 %
2026/09/04 11:25:37.429, NVIDIA GeForce RTX 3090, 270.00 W, 220.82 W, 72, 2590 MiB, 24576 MiB, 26 %
2026/09/04 11:25:39.430, NVIDIA GeForce RTX 3090, 270.00 W, 217.23 W, 71, 2590 MiB, 24576 MiB, 21 %
2026/09/04 11:25:41.431, NVIDIA GeForce RTX 3090, 270.00 W, 202.85 W, 70, 2590 MiB, 24576 MiB, 19 %
2026/09/04 11:25:43.431, NVIDIA GeForce RTX 3090, 270.00 W, 226.44 W, 72, 2590 MiB, 24576 MiB, 28 %
2026/09/04 11:25:45.432, NVIDIA GeForce RTX 3090, 270.00 W, 225.78 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:25:47.432, NVIDIA GeForce RTX 3090, 270.00 W, 219.81 W, 72, 2590 MiB, 24576 MiB, 28 %
2026/09/04 11:25:49.433, NVIDIA GeForce RTX 3090, 270.00 W, 199.94 W, 71, 2590 MiB, 24576 MiB, 36 %
2026/09/04 11:25:51.434, NVIDIA GeForce RTX 3090, 270.00 W, 200.63 W, 72, 2590 MiB, 24576 MiB, 29 %
2026/09/04 11:25:53.434, NVIDIA GeForce RTX 3090, 270.00 W, 226.73 W, 72, 2590 MiB, 24576 MiB, 33 %
2026/09/04 11:25:55.435, NVIDIA GeForce RTX 3090, 270.00 W, 226.17 W, 73, 2590 MiB, 24576 MiB, 24 %
2026/09/04 11:25:57.435, NVIDIA GeForce RTX 3090, 270.00 W, 228.00 W, 73, 2590 MiB, 24576 MiB, 41 %
2026/09/04 11:25:59.436, NVIDIA GeForce RTX 3090, 270.00 W, 220.14 W, 72, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:26:01.437, NVIDIA GeForce RTX 3090, 270.00 W, 221.93 W, 73, 2590 MiB, 24576 MiB, 37 %
2026/09/04 11:26:03.438, NVIDIA GeForce RTX 3090, 270.00 W, 221.67 W, 73, 2590 MiB, 24576 MiB, 30 %
2026/09/04 11:26:05.438, NVIDIA GeForce RTX 3090, 270.00 W, 223.08 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:26:07.439, NVIDIA GeForce RTX 3090, 270.00 W, 221.23 W, 72, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:26:09.440, NVIDIA GeForce RTX 3090, 270.00 W, 221.22 W, 73, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:26:11.441, NVIDIA GeForce RTX 3090, 270.00 W, 210.10 W, 71, 2590 MiB, 24576 MiB, 35 %
2026/09/04 11:26:13.441, NVIDIA GeForce RTX 3090, 270.00 W, 211.94 W, 72, 2590 MiB, 24576 MiB, 17 %
2026/09/04 11:26:15.442, NVIDIA GeForce RTX 3090, 270.00 W, 226.26 W, 73, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:26:17.442, NVIDIA GeForce RTX 3090, 270.00 W, 222.18 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:26:19.443, NVIDIA GeForce RTX 3090, 270.00 W, 229.12 W, 73, 2590 MiB, 24576 MiB, 35 %
2026/09/04 11:26:21.444, NVIDIA GeForce RTX 3090, 270.00 W, 224.72 W, 73, 2590 MiB, 24576 MiB, 41 %
2026/09/04 11:26:23.444, NVIDIA GeForce RTX 3090, 270.00 W, 223.82 W, 73, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:26:25.445, NVIDIA GeForce RTX 3090, 270.00 W, 222.43 W, 72, 2590 MiB, 24576 MiB, 25 %
2026/09/04 11:26:27.446, NVIDIA GeForce RTX 3090, 270.00 W, 209.30 W, 72, 2590 MiB, 24576 MiB, 29 %
2026/09/04 11:26:29.446, NVIDIA GeForce RTX 3090, 270.00 W, 227.43 W, 73, 2590 MiB, 24576 MiB, 42 %
2026/09/04 11:26:31.447, NVIDIA GeForce RTX 3090, 270.00 W, 221.68 W, 72, 2590 MiB, 24576 MiB, 35 %
2026/09/04 11:26:33.447, NVIDIA GeForce RTX 3090, 270.00 W, 225.89 W, 72, 2590 MiB, 24576 MiB, 29 %
2026/09/04 11:26:35.448, NVIDIA GeForce RTX 3090, 270.00 W, 222.25 W, 72, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:26:37.449, NVIDIA GeForce RTX 3090, 270.00 W, 225.39 W, 73, 2590 MiB, 24576 MiB, 39 %
2026/09/04 11:26:39.449, NVIDIA GeForce RTX 3090, 270.00 W, 207.70 W, 70, 2590 MiB, 24576 MiB, 37 %
2026/09/04 11:26:41.450, NVIDIA GeForce RTX 3090, 270.00 W, 200.53 W, 70, 2590 MiB, 24576 MiB, 32 %
2026/09/04 11:26:43.451, NVIDIA GeForce RTX 3090, 270.00 W, 229.23 W, 72, 2590 MiB, 24576 MiB, 34 %
2026/09/04 11:26:45.451, NVIDIA GeForce RTX 3090, 270.00 W, 227.63 W, 73, 2590 MiB, 24576 MiB, 20 %
2026/09/04 11:26:47.452, NVIDIA GeForce RTX 3090, 270.00 W, 224.44 W, 72, 2590 MiB, 24576 MiB, 21 %
2026/09/04 11:26:49.453, NVIDIA GeForce RTX 3090, 270.00 W, 224.12 W, 73, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:26:51.453, NVIDIA GeForce RTX 3090, 270.00 W, 224.87 W, 72, 2590 MiB, 24576 MiB, 27 %
2026/09/04 11:26:53.454, NVIDIA GeForce RTX 3090, 270.00 W, 223.78 W, 72, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:26:55.455, NVIDIA GeForce RTX 3090, 270.00 W, 224.37 W, 72, 2590 MiB, 24576 MiB, 32 %
2026/09/04 11:26:57.455, NVIDIA GeForce RTX 3090, 270.00 W, 219.03 W, 71, 2590 MiB, 24576 MiB, 38 %
2026/09/04 11:26:59.456, NVIDIA GeForce RTX 3090, 270.00 W, 231.82 W, 73, 2590 MiB, 24576 MiB, 43 %
2026/09/04 11:27:01.456, NVIDIA GeForce RTX 3090, 270.00 W, 196.29 W, 70, 2590 MiB, 24576 MiB, 44 %
