2026/09/05 18:17:45.694, NVIDIA GeForce RTX 3090, P0, 270.00 W, 160.43 W, 67, 1 MiB, 24576 MiB, 0 %
2026/09/05 18:17:55.699, NVIDIA GeForce RTX 3090, P2, 270.00 W, 187.85 W, 69, 3518 MiB, 24576 MiB, 36 %
2026/09/05 18:18:05.700, NVIDIA GeForce RTX 3090, P2, 270.00 W, 188.42 W, 69, 3644 MiB, 24576 MiB, 36 %
2026/09/05 18:18:15.701, NVIDIA GeForce RTX 3090, P2, 270.00 W, 185.18 W, 69, 3644 MiB, 24576 MiB, 21 %
2026/09/05 18:18:25.702, NVIDIA GeForce RTX 3090, P2, 270.00 W, 184.48 W, 69, 3644 MiB, 24576 MiB, 17 %
2026/09/05 18:18:35.704, NVIDIA GeForce RTX 3090, P2, 270.00 W, 176.64 W, 68, 3644 MiB, 24576 MiB, 37 %
2026/09/05 18:18:45.705, NVIDIA GeForce RTX 3090, P2, 270.00 W, 179.23 W, 69, 3644 MiB, 24576 MiB, 38 %
2026/09/05 18:18:55.706, NVIDIA GeForce RTX 3090, P2, 270.00 W, 188.59 W, 70, 9284 MiB, 24576 MiB, 0 %
2026/09/05 18:19:05.708, NVIDIA GeForce RTX 3090, P2, 270.00 W, 237.89 W, 72, 10292 MiB, 24576 MiB, 48 %
2026/09/05 18:19:15.709, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.62 W, 71, 10292 MiB, 24576 MiB, 38 %
2026/09/05 18:19:25.710, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.56 W, 74, 10292 MiB, 24576 MiB, 62 %
2026/09/05 18:19:35.711, NVIDIA GeForce RTX 3090, P2, 270.00 W, 231.50 W, 73, 10292 MiB, 24576 MiB, 47 %
2026/09/05 18:19:45.712, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.73 W, 73, 10292 MiB, 24576 MiB, 48 %
2026/09/05 18:19:55.713, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.49 W, 73, 10292 MiB, 24576 MiB, 62 %
