2026/09/07 13:18:04.800, NVIDIA GeForce RTX 3090, P0, 270.00 W, 183.48 W, 70, 1 MiB, 24576 MiB, 0 %
2026/09/07 13:18:06.803, NVIDIA GeForce RTX 3090, P2, 270.00 W, 130.24 W, 62, 420 MiB, 24576 MiB, 0 %
2026/09/07 13:18:08.804, NVIDIA GeForce RTX 3090, P2, 270.00 W, 159.16 W, 67, 818 MiB, 24576 MiB, 0 %
2026/09/07 13:18:10.804, NVIDIA GeForce RTX 3090, P2, 270.00 W, 186.51 W, 69, 3014 MiB, 24576 MiB, 30 %
2026/09/07 13:18:12.805, NVIDIA GeForce RTX 3090, P2, 270.00 W, 180.92 W, 69, 3014 MiB, 24576 MiB, 35 %
2026/09/07 13:18:14.806, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.23 W, 73, 8092 MiB, 24576 MiB, 35 %
2026/09/07 13:18:16.806, NVIDIA GeForce RTX 3090, P2, 270.00 W, 241.82 W, 72, 8132 MiB, 24576 MiB, 70 %
2026/09/07 13:18:18.807, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.31 W, 74, 8134 MiB, 24576 MiB, 40 %
2026/09/07 13:18:20.807, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.84 W, 73, 8134 MiB, 24576 MiB, 6 %
2026/09/07 13:18:22.808, NVIDIA GeForce RTX 3090, P2, 270.00 W, 190.56 W, 71, 8134 MiB, 24576 MiB, 0 %
2026/09/07 13:18:24.809, NVIDIA GeForce RTX 3090, P2, 270.00 W, 245.82 W, 74, 8134 MiB, 24576 MiB, 76 %
2026/09/07 13:18:26.809, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.77 W, 72, 8134 MiB, 24576 MiB, 8 %
2026/09/07 13:18:28.810, NVIDIA GeForce RTX 3090, P2, 270.00 W, 243.83 W, 73, 9638 MiB, 24576 MiB, 53 %
2026/09/07 13:18:30.810, NVIDIA GeForce RTX 3090, P2, 270.00 W, 209.88 W, 72, 9638 MiB, 24576 MiB, 44 %
2026/09/07 13:18:32.811, NVIDIA GeForce RTX 3090, P2, 270.00 W, 165.49 W, 69, 9638 MiB, 24576 MiB, 0 %
2026/09/07 13:18:34.811, NVIDIA GeForce RTX 3090, P2, 270.00 W, 239.35 W, 73, 9638 MiB, 24576 MiB, 56 %
2026/09/07 13:18:36.812, NVIDIA GeForce RTX 3090, P2, 270.00 W, 206.82 W, 71, 9638 MiB, 24576 MiB, 0 %
2026/09/07 13:18:38.813, NVIDIA GeForce RTX 3090, P2, 270.00 W, 249.37 W, 74, 9638 MiB, 24576 MiB, 16 %
2026/09/07 13:18:40.813, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.53 W, 74, 9638 MiB, 24576 MiB, 79 %
2026/09/07 13:18:42.814, NVIDIA GeForce RTX 3090, P2, 270.00 W, 192.71 W, 70, 9638 MiB, 24576 MiB, 15 %
2026/09/07 13:18:44.815, NVIDIA GeForce RTX 3090, P2, 270.00 W, 231.32 W, 73, 9638 MiB, 24576 MiB, 52 %
2026/09/07 13:18:46.815, NVIDIA GeForce RTX 3090, P2, 270.00 W, 212.87 W, 71, 9638 MiB, 24576 MiB, 54 %
2026/09/07 13:18:48.816, NVIDIA GeForce RTX 3090, P2, 270.00 W, 244.36 W, 74, 9638 MiB, 24576 MiB, 27 %
