label,channel,filter,epsilon,fold_tree_l2,fold_tree_max_abs,convolved_tree_l2,convolved_tree_max_abs,logit_l2,logit_max_abs,route_max_js,route_branch_flips,fixed_argmax_changes,free_text
base:uniform-gain:eps-0.10,base,uniform-gain,-0.1,7.923832928274313,1.301234245300293,8.078903765368615,1.301234245300293,58.46073913574219,0.40458154678344727,0.0004690233326982707,2,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps-0.01,base,uniform-gain,-0.01,0.8393361267982853,0.1377859115600586,0.8549041507523913,0.1377859115600586,5.934164047241211,0.037787437438964844,4.9726368160918355e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps+0.01,base,uniform-gain,0.01,0.849745556399035,0.13947391510009766,0.8652586870116251,0.13947391510009766,5.951991081237793,0.038116455078125,5.043504643253982e-06,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps+0.10,base,uniform-gain,0.1,8.959328420016666,1.4689502716064453,9.104503011555664,1.4689502716064453,59.956905364990234,0.40080976486206055,0.0005418057553470135,4,3,"The Westin is a stone-somega-sale of the mountain, which is the oldest and most of"
base:pascal-row-energy:eps-0.10,base,pascal-row-energy,-0.1,5.386528667570483,0.743433952331543,5.472957548007685,0.743433952331543,43.029666900634766,0.32389354705810547,0.0003385464078746736,3,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:pascal-row-energy:eps-0.01,base,pascal-row-energy,-0.01,0.5613229423546998,0.07708454132080078,0.5697784794292783,0.07708454132080078,4.42461633682251,0.03318214416503906,3.5179982660338283e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:pascal-row-energy:eps+0.01,base,pascal-row-energy,0.01,0.5656389077683913,0.07761859893798828,0.5739803000470957,0.07761859893798828,4.446832180023193,0.03335142135620117,3.5378470784053206e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:pascal-row-energy:eps+0.10,base,pascal-row-energy,0.1,5.811156757879707,0.7961893081665039,5.884399929464892,0.7961893081665039,45.15245056152344,0.34238338470458984,0.00035325775388628244,5,3,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base:gaussian-center-energy:eps-0.10,base,gaussian-center-energy,-0.1,6.272024224204882,0.9522428512573242,6.368878948978252,0.9522428512573242,50.206390380859375,0.3445930480957031,0.0003757544618565589,2,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:gaussian-center-energy:eps-0.01,base,gaussian-center-energy,-0.01,0.6555201650478847,0.09947586059570312,0.6647786757765758,0.09947586059570312,5.13685417175293,0.035813331604003906,3.89052729588002e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:gaussian-center-energy:eps+0.01,base,gaussian-center-energy,0.01,0.6612945909126651,0.1003580093383789,0.670386713741828,0.1003580093383789,5.158757209777832,0.03612661361694336,3.8490288716275245e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:gaussian-center-energy:eps+0.10,base,gaussian-center-energy,0.1,6.8442545172148845,1.0398950576782227,6.922425751960729,1.0398950576782227,52.276710510253906,0.3736405372619629,0.00039340060902759433,4,3,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base:impulse-center-energy:eps-0.10,base,impulse-center-energy,-0.1,3.0774856885266253,0.36931705474853516,3.236266311694671,0.4082179069519043,21.86705780029297,0.1887369155883789,0.0002677134471014142,4,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:impulse-center-energy:eps-0.01,base,impulse-center-energy,-0.01,0.34299257193443006,0.040524959564208984,0.358478695654403,0.045784950256347656,2.40312123298645,0.020569801330566406,3.444845788180828e-06,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:impulse-center-energy:eps+0.01,base,impulse-center-energy,0.01,0.3491827114859831,0.04107308387756348,0.36439862831629294,0.047202110290527344,2.439563751220703,0.0208587646484375,3.5862321965396404e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:impulse-center-energy:eps+0.10,base,impulse-center-energy,0.1,3.6495042956795443,0.4204854965209961,3.7792646392454228,0.49161577224731445,25.23296546936035,0.21545124053955078,0.0003927686484530568,6,2,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base:ancestor-chain-energy:eps-0.10,base,ancestor-chain-energy,-0.1,6.7534088755921875,1.2708511352539062,6.8908064179770925,1.2849645614624023,51.67900085449219,0.40782976150512695,0.0005290136905387044,7,1,"The Westin is a mountainous village of the sixth day, and the oldest stone in the mountains of the hill"
