channel,filter_a,filter_b,epsilon,fold_interaction_l2,fold_relative_interaction,convolved_interaction_l2,convolved_relative_interaction,logit_interaction_l2,logit_interaction_max_abs,logit_relative_interaction,combined_fixed_argmax_changes,combined_free_text
base,uniform-gain,gaussian-center-energy,0.01,0.007490135996505959,0.004956940363122944,0.008873958333975541,0.005778650729458705,0.12063943594694138,0.0010967254638671875,0.010857903398573399,2,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base,uniform-gain,gaussian-center-energy,0.1,0.6777551280926285,0.04288616947660876,0.7948560158690288,0.04959503038234092,10.97425365447998,0.09932613372802734,0.09778045862913132,3,"The Westin is a stone-somega-sale of the mountain, which is the oldest and most of"
base,gaussian-center-energy,center-surround,0.01,0.002317807483751568,0.0023911644767654725,0.003237804544496224,0.003255825358381134,0.029595425352454185,0.0002522468566894531,0.004183752462267876,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base,gaussian-center-energy,center-surround,0.1,0.274143771029203,0.02769050381180578,0.36443863408036087,0.03597940637839014,3.0277259349823,0.02995920181274414,0.04244106262922287,3,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base,ancestor-chain-energy,haar-local-sibling,0.01,0.0031349674347630634,0.00285034373018951,0.005456542348474296,0.004730780733783306,0.04948662966489792,0.00036334991455078125,0.005695987492799759,1,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
base,ancestor-chain-energy,haar-local-sibling,0.1,0.29064093035362115,0.025193365501388867,0.5247533104356547,0.043406837496040136,4.879018783569336,0.03635597229003906,0.05501437932252884,2,"The Westin is a stone-somega-sale of the mountain, which is the oldest and most of"
base,depth-fine-minus-coarse,alternating-highpass,0.01,0.0013511700143491866,0.0015775464247306894,0.0025512206898245186,0.00281104733729614,0.02882322669029236,0.0002830028533935547,0.0038475720211863518,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base,depth-fine-minus-coarse,alternating-highpass,0.1,0.1561838772500137,0.018816918369474973,0.2818815099872997,0.032035544104153005,2.962503433227539,0.027376413345336914,0.039203956723213196,1,"The Westin is a mountainous village of the sixth day, and the oldest stone in the mountain of the hill"
extra,uniform-gain,gaussian-center-energy,0.01,0.0003385655477045092,0.005082403259710062,0.00034513818111603096,0.0047743183314973865,0.004084932617843151,3.719329833984375e-05,0.003545033745467663,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,uniform-gain,gaussian-center-energy,0.1,0.030831567707284853,0.04417755597724215,0.031608921171212626,0.04188961954462513,0.3697732388973236,0.003521442413330078,0.03158409520983696,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
extra,gaussian-center-energy,center-surround,0.01,9.774625154828948e-05,0.002381077854278094,0.00016114222825602316,0.003410383167499869,0.0018295693444088101,1.5616416931152344e-05,0.0026549911126494408,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,gaussian-center-energy,center-surround,0.1,0.012301981346837316,0.029281759741624565,0.017604973151853186,0.03650428594627417,0.23591773211956024,0.002003967761993408,0.0337018221616745,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,ancestor-chain-energy,haar-local-sibling,0.01,0.00011610291166941026,0.002532821543737016,0.00012359138235380345,0.0022189897489480912,0.0012363665737211704,1.0967254638671875e-05,0.0014116154052317142,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,ancestor-chain-energy,haar-local-sibling,0.1,0.009654717788865796,0.019937509584472088,0.009415959613514475,0.016212448149606318,0.13946157693862915,0.0009865760803222656,0.0158285740762949,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,depth-fine-minus-coarse,alternating-highpass,0.01,4.680873038748289e-05,0.0013158097449992613,0.00010229900191744635,0.002245441867035067,0.0021809532772749662,1.621246337890625e-05,0.0038833452854305506,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,depth-fine-minus-coarse,alternating-highpass,0.1,0.006266535569374495,0.0181986940179687,0.009859020946235968,0.02214858664186747,0.21709448099136353,0.0015230178833007812,0.03909539803862572,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
