owner,name,group,shape,dtype,count,mean,std,min,max,l2
model,extra_logit_gain,extra_logit_gain,scalar,float32,1,-5.398612022399902,0.0,-5.398612022399902,-5.398612022399902,5.398612022399902
model,protocol_gain_logit,protocol_gain_logit,scalar,float32,1,7.2608819007873535,0.0,7.2608819007873535,7.2608819007873535,7.2608819007873535
model,frozen_source.encoder.embedding.weight,frozen_source.encoder,32003x256,float32,8192768,-0.0010032509453594685,0.27723178267478943,-1.6336684226989746,1.5870410203933716,793.526123046875
model,frozen_source.encoder.predictor.net.0.weight,frozen_source.encoder,512x256,float32,131072,-0.0010070543503388762,0.29698559641838074,-1.3640036582946777,1.3615772724151611,107.52090454101562
model,frozen_source.encoder.predictor.net.0.bias,frozen_source.encoder,512,float32,512,0.32303735613822937,0.5898905396461487,-1.0803252458572388,2.187406539916992,15.218076705932617
model,frozen_source.encoder.predictor.net.2.weight,frozen_source.encoder,256x512,float32,131072,0.003128534648567438,0.1235908567905426,-1.0070353746414185,1.0401657819747925,44.759002685546875
model,frozen_source.encoder.predictor.net.2.bias,frozen_source.encoder,256,float32,256,0.013580404222011566,0.1950138360261917,-0.3668203353881836,0.5500714182853699,3.1277778148651123
model,frozen_source.encoder.update_kernel.net.0.weight,frozen_source.encoder,512x256,float32,131072,6.021240551490337e-06,0.04612857103347778,-0.3620050847530365,0.42117270827293396,16.70032501220703
model,frozen_source.encoder.update_kernel.net.0.bias,frozen_source.encoder,512,float32,512,0.001951472251676023,0.032716065645217896,-0.05953139811754227,0.15836557745933533,0.7415958642959595
model,frozen_source.encoder.update_kernel.net.2.weight,frozen_source.encoder,256x512,float32,131072,-1.8391241610515863e-05,0.008946330286562443,-0.0838637575507164,0.07214073836803436,3.238924503326416
model,frozen_source.encoder.update_kernel.net.2.bias,frozen_source.encoder,256,float32,256,-0.0009986178483814,0.01465371809899807,-0.06954216212034225,0.05696437135338783,0.2350032776594162
model,frozen_source.encoder.communication.depth_gain,frozen_source.encoder,8,float32,8,0.2739250659942627,0.2036847323179245,0.018411710858345032,0.6657115817070007,0.9654943346977234
model,frozen_source.encoder.communication.forward_kernel.net.0.weight,frozen_source.encoder,256x256,float32,65536,-0.001611543819308281,0.2610609233379364,-1.1773288249969482,1.1101754903793335,66.83287048339844
model,frozen_source.encoder.communication.forward_kernel.net.0.bias,frozen_source.encoder,256,float32,256,-0.6341835260391235,0.11693176627159119,-0.988350510597229,-0.3327234387397766,10.317975044250488
model,frozen_source.encoder.communication.forward_kernel.net.2.weight,frozen_source.encoder,256x256,float32,65536,-0.000433527457062155,0.3058502972126007,-1.5445797443389893,1.5032659769058228,78.29776000976562
model,frozen_source.encoder.communication.forward_kernel.net.2.bias,frozen_source.encoder,256,float32,256,-0.01928514800965786,0.4009200930595398,-1.1182552576065063,0.8903993964195251,6.422138214111328
model,frozen_source.encoder.communication.backward_kernel.net.0.weight,frozen_source.encoder,256x256,float32,65536,-0.0010459013283252716,0.264238178730011,-1.2227652072906494,1.120719313621521,67.6455078125
model,frozen_source.encoder.communication.backward_kernel.net.0.bias,frozen_source.encoder,256,float32,256,-0.6920214891433716,0.1595781445503235,-1.2259631156921387,-0.18088215589523315,11.362916946411133
model,frozen_source.encoder.communication.backward_kernel.net.2.weight,frozen_source.encoder,256x256,float32,65536,0.0008186374325305223,0.31047308444976807,-1.311011552810669,1.452940583229065,79.48138427734375
model,frozen_source.encoder.communication.backward_kernel.net.2.bias,frozen_source.encoder,256,float32,256,-0.0035268478095531464,0.3890175223350525,-1.116759181022644,1.193171739578247,6.224536418914795
model,frozen_source.decoder.up_gain_logit,frozen_source.decoder,scalar,float32,1,-4.0,0.0,-4.0,-4.0,4.0
model,frozen_source.decoder.read_gain_logit,frozen_source.decoder,scalar,float32,1,-4.882232189178467,0.0,-4.882232189178467,-4.882232189178467,4.882232189178467
model,frozen_source.decoder.embedding.weight,frozen_source.decoder,32003x256,float32,8192768,0.0006907338974997401,0.2822144627571106,-1.6621235609054565,2.1689155101776123,807.7852172851562
model,frozen_source.decoder.query.weight,frozen_source.decoder,256x256,float32,65536,2.7738278731703758e-05,0.2093476802110672,-1.325337290763855,1.3375829458236694,53.5930061340332
model,frozen_source.decoder.cell.weight_ih,frozen_source.decoder,768x512,float32,393216,-0.0007185059948824346,0.2762053608894348,-1.6743425130844116,2.0103607177734375,173.2005157470703
model,frozen_source.decoder.cell.weight_hh,frozen_source.decoder,768x256,float32,196608,-0.0038440420757979155,0.2445908784866333,-4.662538051605225,3.738248348236084,108.46621704101562
model,frozen_source.decoder.cell.bias_ih,frozen_source.decoder,768,float32,768,0.2726266384124756,0.6246852278709412,-1.8004459142684937,2.1300272941589355,18.888612747192383
model,frozen_source.decoder.cell.bias_hh,frozen_source.decoder,768,float32,768,0.2670027017593384,0.6700958609580994,-1.7945400476455688,2.1274092197418213,19.99011993408203
model,frozen_source.decoder.output.weight,frozen_source.decoder,32003x512,float32,16385536,-0.006503730081021786,0.38094964623451233,-6.540864944458008,6.319429874420166,1542.272705078125
model,frozen_source.decoder.output.bias,frozen_source.decoder,32003,float32,32003,-1.8152499198913574,1.5305744409561157,-7.527525901794434,2.9079127311706543,424.76605224609375
model,frozen_source.decoder.up_kernel.net.0.weight,frozen_source.decoder,512x768,float32,393216,2.5865061616059393e-05,0.020810388028621674,-0.036084163933992386,0.0360841378569603,13.049567222595215
model,frozen_source.decoder.up_kernel.net.0.bias,frozen_source.decoder,512,float32,512,0.0016805070918053389,0.021411215886473656,-0.03602741286158562,0.03595712408423424,0.48597049713134766
model,frozen_source.decoder.up_kernel.net.2.weight,frozen_source.decoder,256x512,float32,131072,-8.646042260807008e-05,0.025494204834103584,-0.04419376328587532,0.044191475957632065,9.229941368103027
model,frozen_source.decoder.up_kernel.net.2.bias,frozen_source.decoder,256,float32,256,0.00012500927550718188,0.025718480348587036,-0.042448703199625015,0.04417046159505844,0.41150057315826416
model,frozen_source.decoder.read_kernel.net.0.weight,frozen_source.decoder,512x768,float32,393216,-0.0005895362119190395,0.22120808064937592,-1.3069413900375366,1.2566885948181152,138.71331787109375
model,frozen_source.decoder.read_kernel.net.0.bias,frozen_source.decoder,512,float32,512,-0.11186105012893677,0.2261303812265396,-0.6605561971664429,0.7303213477134705,5.708563327789307
model,frozen_source.decoder.read_kernel.net.2.weight,frozen_source.decoder,256x512,float32,131072,0.000721283839084208,0.1514805108308792,-0.8302415013313293,0.7967205047607422,54.84242248535156
model,frozen_source.decoder.read_kernel.net.2.bias,frozen_source.decoder,256,float32,256,-0.007531520910561085,0.11500691622495651,-0.4371190071105957,0.30359143018722534,1.8440520763397217
model,frozen_source.decoder.branch.weight,frozen_source.decoder,256x256,float32,65536,0.00015677083865739405,0.21819904446601868,-1.961044430732727,1.3261792659759521,55.858970642089844
model,frozen_source.decoder.depth_embedding.weight,frozen_source.decoder,9x256,float32,2304,-0.005617106799036264,0.40779149532318115,-1.2818844318389893,1.3959211111068726,19.575847625732422
model,compressor.slot_query.weight,compressor.slot_query,32x256,float32,8192,-0.026220321655273438,0.5191403031349182,-1.7048366069793701,1.74393892288208,47.04711151123047
model,compressor.depth_embedding.weight,compressor.depth_embedding,9x256,float32,2304,0.010317269712686539,0.33290907740592957,-1.1256920099258423,1.2204316854476929,15.98730754852295
model,compressor.read_kernel.net.0.weight,compressor.read_kernel,512x768,float32,393216,-0.0036836210638284683,0.10758654028177261,-1.0520923137664795,0.7826040387153625,67.50375366210938
model,compressor.read_kernel.net.0.bias,compressor.read_kernel,512,float32,512,-0.04882737249135971,0.05600181967020035,-0.17586632072925568,0.11135891824960709,1.6811906099319458
model,compressor.read_kernel.net.2.weight,compressor.read_kernel,256x512,float32,131072,-0.0028738700784742832,0.12028101831674576,-0.9036945104598999,0.9587382674217224,43.55881118774414
model,compressor.read_kernel.net.2.bias,compressor.read_kernel,256,float32,256,0.006807080935686827,0.1266300231218338,-0.3149251937866211,0.29841288924217224,2.029005765914917
model,compressor.branch.weight,compressor.branch,256x256,float32,65536,0.00025962202926166356,0.09788739681243896,-1.2464449405670166,1.326413631439209,25.059261322021484
model,compressor.query_norm.weight,compressor.query_norm,256,float32,256,0.14882120490074158,0.12182248383760452,-0.1763511747121811,0.9473044276237488,3.077181816101074
model,compressor.query_norm.bias,compressor.query_norm,256,float32,256,0.0063098119571805,0.13567925989627838,-0.19858373701572418,0.30179348587989807,2.1732146739959717
model,compressor.slot_out.0.weight,compressor.slot_out,512x512,float32,262144,-0.0006375834927894175,0.11890611797571182,-1.75607168674469,1.4276578426361084,60.88080596923828
model,compressor.slot_out.0.bias,compressor.slot_out,512,float32,512,-0.11068988591432571,0.08279480785131454,-0.2316816747188568,0.08424445986747742,3.127763032913208
model,compressor.slot_out.2.weight,compressor.slot_out,256x512,float32,131072,0.00011523468128871173,0.1040540263056755,-1.6339306831359863,1.015116810798645,37.67160415649414
model,compressor.slot_out.2.bias,compressor.slot_out,256,float32,256,-0.00024652871070429683,0.037349116057157516,-0.09729425609111786,0.09467653930187225,0.5975989103317261
model,compressor.slot_out.3.weight,compressor.slot_out,256,float32,256,1.4513359069824219,0.13660939037799835,0.09582261741161346,2.0479049682617188,23.324016571044922
model,compressor.slot_out.3.bias,compressor.slot_out,256,float32,256,-0.01591811701655388,0.13051818311214447,-0.3398965001106262,0.3611290156841278,2.103764772415161
model,reconstructor.up_gain_logit,reconstructor.up_gain_logit,scalar,float32,1,2.8672006130218506,0.0,2.8672006130218506,2.8672006130218506,2.8672006130218506
model,reconstructor.read_gain_logit,reconstructor.read_gain_logit,scalar,float32,1,-1.1170737743377686,0.0,-1.1170737743377686,-1.1170737743377686,1.1170737743377686
model,reconstructor.embedding.weight,reconstructor.embedding,32003x256,float32,8192768,0.0003956666332669556,0.14125393331050873,-1.4363056421279907,1.4012811183929443,404.3128967285156
model,reconstructor.query.weight,reconstructor.query,256x256,float32,65536,-0.00020913075422868133,0.08909426629543304,-0.6674184799194336,0.7452886700630188,22.808195114135742
model,reconstructor.cell.weight_ih,reconstructor.cell,768x512,float32,393216,-0.0008457884541712701,0.23498788475990295,-2.032388210296631,1.716088056564331,147.3546600341797
model,reconstructor.cell.weight_hh,reconstructor.cell,768x256,float32,196608,-0.0011101111304014921,0.11429260671138763,-2.8499832153320312,2.1118528842926025,50.680301666259766
model,reconstructor.cell.bias_ih,reconstructor.cell,768,float32,768,-0.06131259724497795,0.3527270555496216,-1.186779499053955,1.1944043636322021,9.921635627746582
model,reconstructor.cell.bias_hh,reconstructor.cell,768,float32,768,-0.058199964463710785,0.3738419711589813,-1.3308748006820679,1.1946699619293213,10.485008239746094
model,reconstructor.output.weight,reconstructor.output,32003x512,float32,16385536,-0.0011112221982330084,0.18424996733665466,-2.182424783706665,2.394029378890991,745.8400268554688
model,reconstructor.output.bias,reconstructor.output,32003,float32,32003,-1.570966124534607,1.0169373750686646,-5.442658424377441,1.9594149589538574,334.7799072265625
model,reconstructor.up_kernel.net.0.weight,reconstructor.up_kernel,512x768,float32,393216,-0.0006293657934293151,0.09044704586267471,-0.7503484487533569,2.525390863418579,56.71794128417969
model,reconstructor.up_kernel.net.0.bias,reconstructor.up_kernel,512,float32,512,-0.09211495518684387,0.156717449426651,-0.5131468176841736,0.7030147910118103,4.113308429718018
model,reconstructor.up_kernel.net.2.weight,reconstructor.up_kernel,256x512,float32,131072,-0.0010224472498521209,0.08675454556941986,-0.8821807503700256,1.3888990879058838,31.410680770874023
model,reconstructor.up_kernel.net.2.bias,reconstructor.up_kernel,256,float32,256,-0.0020598415285348892,0.14549894630908966,-0.3453003764152527,0.474315881729126,2.328216552734375
model,reconstructor.read_kernel.net.0.weight,reconstructor.read_kernel,512x768,float32,393216,0.0007485951064154506,0.09336838126182556,-0.9060556888580322,0.9562138915061951,58.55033874511719
model,reconstructor.read_kernel.net.0.bias,reconstructor.read_kernel,512,float32,512,-0.06922486424446106,0.0567057803273201,-0.29495227336883545,0.07095379382371902,2.024822235107422
model,reconstructor.read_kernel.net.2.weight,reconstructor.read_kernel,256x512,float32,131072,-2.0768449758179486e-05,0.07408338040113449,-0.6779121160507202,0.8968919515609741,26.821048736572266
model,reconstructor.read_kernel.net.2.bias,reconstructor.read_kernel,256,float32,256,-0.004642840474843979,0.09005340933799744,-0.2238919734954834,0.2480180710554123,1.4427682161331177
model,reconstructor.branch.weight,reconstructor.branch,256x256,float32,65536,3.518884113873355e-05,0.04812413826584816,-0.8192539811134338,0.8238703012466431,12.319783210754395
model,reconstructor.depth_embedding.weight,reconstructor.depth_embedding,9x256,float32,2304,-0.0026340633630752563,0.17709104716777802,-0.7347509264945984,0.8119912147521973,8.501310348510742
model,extra.protocol_gain_logit,extra.protocol_gain_logit,scalar,float32,1,-3.4974539279937744,0.0,-3.4974539279937744,-3.4974539279937744,3.4974539279937744
model,extra.source_projection.weight,extra.source_projection,384x256,float32,98304,-3.1760915589984506e-05,0.05005895346403122,-0.19284218549728394,0.20407576858997345,15.695221900939941
model,extra.compressor.slot_query.weight,extra.compressor,32x384,float32,12288,-0.003241754835471511,0.8793717622756958,-3.1026713848114014,3.3730804920196533,97.4801254272461
model,extra.compressor.depth_embedding.weight,extra.compressor,9x384,float32,3456,-0.004611918702721596,0.8959766626358032,-3.2717297077178955,2.9142684936523438,52.673152923583984
