held_out_family,feature,auroc,average_precision,balanced_accuracy,score_gap,active_features,finite,shuffled_auroc_mean,shuffled_auroc_max
physical,input_bow,0.56125,0.611414972173894,0.5,1.531826460261856,3362,True,0.5085,0.611875
physical,d5:fold:root,0.58625,0.5868598554216575,0.55,20.64451369612599,640,True,0.499625,0.595
physical,d5:fold:middle,0.6,0.6179783318104093,0.55,24.30728595061689,640,True,0.5082500000000001,0.604375
physical,d5:fold:leaf,0.60875,0.6417397072662303,0.5375,29.342190668521777,640,True,0.488125,0.603125
physical,d5:read_facing:root,0.5425,0.5277911063055419,0.5375,22.565450211297875,640,True,0.484375,0.578125
physical,d5:read_facing:middle,0.60125,0.6031976135705536,0.5625,41.927682364814,640,True,0.48262499999999997,0.6
physical,d5:read_facing:leaf,0.60875,0.6417397072662303,0.5375,29.342190668521777,640,True,0.488125,0.603125
physical,d6:fold:root,0.564375,0.5624314490660289,0.5375,16.88819035107849,640,True,0.522,0.613125
physical,d6:fold:middle,0.5525,0.5727360853720536,0.525,16.939328194858295,640,True,0.518375,0.5825
physical,d6:fold:leaf,0.555,0.5683733335633416,0.525,21.954142298692435,640,True,0.515125,0.598125
physical,d6:read_facing:root,0.52625,0.534911796886894,0.525,13.933058504324018,640,True,0.51425,0.61625
physical,d6:read_facing:middle,0.5825,0.5863675777289574,0.55,36.05083315143875,640,True,0.49450000000000005,0.581875
physical,d6:read_facing:leaf,0.555,0.5683733335633416,0.525,21.954142298692435,640,True,0.515125,0.598125
physical,d7:fold:root,0.57,0.552731106331589,0.5875,20.11026909586739,640,True,0.5001249999999999,0.613125
physical,d7:fold:middle,0.5625,0.5498297327970235,0.5375,25.22364450215713,640,True,0.5331250000000001,0.56125
physical,d7:fold:leaf,0.57,0.5747092624070204,0.575,29.258038361717,640,True,0.530625,0.574375
physical,d7:read_facing:root,0.515,0.502760362464489,0.55,26.28677127761255,640,True,0.4790000000000001,0.54
physical,d7:read_facing:middle,0.564375,0.5709419948732689,0.5125,41.82811041168585,640,True,0.508,0.5625
physical,d7:read_facing:leaf,0.57,0.5747092624070204,0.575,29.258038361717,640,True,0.530625,0.574375
technical,input_bow,0.37625,0.4184703806844878,0.375,-1.7916055220972884,3449,True,0.438375,0.5325
technical,d5:fold:root,0.481875,0.49113986001239446,0.5375,-7.382121414370012,640,True,0.491625,0.513125
technical,d5:fold:middle,0.468125,0.47455357122550035,0.525,-12.379230109515277,640,True,0.503625,0.541875
technical,d5:fold:leaf,0.48125,0.5030168351795207,0.525,-7.519510327745472,640,True,0.499625,0.536875
technical,d5:read_facing:root,0.48125,0.49307657100734603,0.525,-11.116540932842604,640,True,0.491,0.515625
technical,d5:read_facing:middle,0.4675,0.46938308501707826,0.55,-18.350977567689007,640,True,0.496,0.533125
technical,d5:read_facing:leaf,0.48125,0.5030168351795207,0.525,-7.519510327745472,640,True,0.499625,0.536875
technical,d6:fold:root,0.4275,0.45280409023108054,0.425,-22.39886730650208,640,True,0.49749999999999994,0.57
technical,d6:fold:middle,0.4225,0.45155317855991284,0.4125,-33.63612294351422,640,True,0.5065,0.5875
technical,d6:fold:leaf,0.42375,0.475621034648918,0.38749999999999996,-32.513349447426805,640,True,0.49712499999999993,0.589375
technical,d6:read_facing:root,0.439375,0.4586529636601049,0.475,-26.80609505884939,640,True,0.49437499999999995,0.550625
technical,d6:read_facing:middle,0.400625,0.4345720143563231,0.4125,-66.51777162758779,640,True,0.508375,0.6
technical,d6:read_facing:leaf,0.42375,0.475621034648918,0.38749999999999996,-32.513349447426805,640,True,0.49712499999999993,0.589375
technical,d7:fold:root,0.4425,0.4537577191111358,0.5125,-15.755380374503323,640,True,0.508875,0.554375
technical,d7:fold:middle,0.45875,0.4642217617938121,0.5125,-21.259468443351444,640,True,0.514375,0.569375
technical,d7:fold:leaf,0.455,0.4858796911063902,0.48750000000000004,-22.939844564988434,640,True,0.5123749999999999,0.560625
technical,d7:read_facing:root,0.465625,0.47349409712446616,0.525,-10.164270235542169,640,True,0.49749999999999994,0.525
technical,d7:read_facing:middle,0.46125,0.4654703469764584,0.4875,-27.27597366057491,640,True,0.502125,0.55125
technical,d7:read_facing:leaf,0.455,0.4858796911063902,0.48750000000000004,-22.939844564988434,640,True,0.5123749999999999,0.560625
abstract,input_bow,0.599375,0.6172211696765942,0.5625,1.3877447144983945,3328,True,0.53225,0.603125
abstract,d5:fold:root,0.609375,0.5907649856390512,0.5249999999999999,21.19837690827796,640,True,0.47937499999999994,0.6375
abstract,d5:fold:middle,0.609375,0.5919218595230042,0.5375,21.491110842006606,640,True,0.47562499999999996,0.560625
abstract,d5:fold:leaf,0.599375,0.5867923113037394,0.55,26.112432814860654,640,True,0.50975,0.625625
abstract,d5:read_facing:root,0.574375,0.5789503112888703,0.5125,25.140210087037264,640,True,0.472625,0.593125
abstract,d5:read_facing:middle,0.600625,0.5994692236301056,0.575,38.35547815045551,640,True,0.502125,0.595
abstract,d5:read_facing:leaf,0.599375,0.5867923113037394,0.55,26.112432814860654,640,True,0.50975,0.625625
abstract,d6:fold:root,0.656875,0.6764995198551447,0.5874999999999999,26.332896431752644,640,True,0.49024999999999996,0.665625
abstract,d6:fold:middle,0.624375,0.6503149108162432,0.5625,28.467481981700345,640,True,0.5149999999999999,0.656875
abstract,d6:fold:leaf,0.613125,0.6477302530317675,0.5875,30.63178221231903,640,True,0.5095000000000001,0.645
abstract,d6:read_facing:root,0.606875,0.642147007795794,0.5125,24.802304859541934,640,True,0.492625,0.6725
abstract,d6:read_facing:middle,0.61625,0.6306270656386946,0.5625,41.13473808839015,640,True,0.507125,0.629375
abstract,d6:read_facing:leaf,0.613125,0.6477302530317675,0.5875,30.63178221231903,640,True,0.5095000000000001,0.645
abstract,d7:fold:root,0.638125,0.646183009044596,0.5874999999999999,25.03512885601629,640,True,0.478125,0.601875
abstract,d7:fold:middle,0.620625,0.6374150223051319,0.6,34.91412593781079,640,True,0.489,0.58625
abstract,d7:fold:leaf,0.615625,0.6132864547949851,0.5874999999999999,36.06730116495316,640,True,0.4875,0.58375
abstract,d7:read_facing:root,0.57875,0.5888230826914067,0.55,20.38416156586884,640,True,0.485375,0.605
abstract,d7:read_facing:middle,0.638125,0.6237002287414188,0.625,62.71540023861232,640,True,0.48187500000000005,0.625
abstract,d7:read_facing:leaf,0.615625,0.6132864547949851,0.5874999999999999,36.06730116495316,640,True,0.4875,0.58375
press,input_bow,0.49125,0.5489831400588168,0.5,0.4909695625515918,3361,True,0.44262500000000005,0.576875
press,d5:fold:root,0.60875,0.5556525455328354,0.575,21.476743983279878,640,True,0.43587499999999996,0.663125
press,d5:fold:middle,0.611875,0.5529156324838814,0.6375,23.44793116050724,640,True,0.40175,0.51875
press,d5:fold:leaf,0.644375,0.5858629930084358,0.6000000000000001,36.53724715231246,640,True,0.4154999999999999,0.604375
press,d5:read_facing:root,0.6375,0.5761642284809675,0.6,40.09786075528745,640,True,0.45149999999999996,0.65875
press,d5:read_facing:middle,0.656875,0.5849149319729765,0.675,61.981612658219326,640,True,0.32999999999999996,0.348125
