checkpoint,cos_mean,cos_p05,cos_p95,cos_std,mode,n_words
anchor_tree_massive_ep1,0.01858070120215416,-0.139444038271904,0.16527697443962097,0.16889764368534088,l0,1000
anchor_tree_massive_ep1,0.5452272891998291,0.1309659630060196,1.000000238418579,0.3326769471168518,path,1000
anchor_tree_massive_ep1,0.019956717267632484,-0.16773690283298492,0.18573591113090515,0.17761610448360443,cmul,1000
anchor_tree_massive_ep1,0.986026406288147,0.9811702966690063,0.9899821281433105,0.0032996172085404396,tree,1000
anchor_tree_massive_ep1,0.2819041311740875,0.04845019802451134,0.5539633631706238,0.19613343477249146,l0_path,1000
anchor_tree_massive_ep2,0.018582522869110107,-0.139444038271904,0.16527697443962097,0.16889691352844238,l0,1000
anchor_tree_massive_ep2,0.5452470183372498,0.131034255027771,0.9999999403953552,0.33264994621276855,path,1000
anchor_tree_massive_ep2,0.019962862133979797,-0.16783791780471802,0.18567951023578644,0.17761173844337463,cmul,1000
anchor_tree_massive_ep2,0.9857821464538574,0.9808633923530579,0.9898057579994202,0.003357218112796545,tree,1000
anchor_tree_massive_ep2,0.2819148898124695,0.048491526395082474,0.5539599061012268,0.19612251222133636,l0_path,1000
anchor_tree_massive_ep3,0.0185843538492918,-0.139444038271904,0.16527697443962097,0.16889618337154388,l0,1000
anchor_tree_massive_ep3,0.5452660918235779,0.13110366463661194,1.000000238418579,0.33262377977371216,path,1000
anchor_tree_massive_ep3,0.019969075918197632,-0.16792847216129303,0.18568071722984314,0.17760708928108215,cmul,1000
anchor_tree_massive_ep3,0.9855280518531799,0.9805126190185547,0.9896352887153625,0.0034176602493971586,tree,1000
anchor_tree_massive_ep3,0.2819252908229828,0.0485239215195179,0.5539554953575134,0.1961119920015335,l0_path,1000
