2026/09/04 11:35:51.814, NVIDIA GeForce RTX 3090, 270.00 W, 168.26 W, 68, 1 MiB, 24576 MiB, 0 %
2026/09/04 11:35:53.818, NVIDIA GeForce RTX 3090, 270.00 W, 116.31 W, 62, 654 MiB, 24576 MiB, 0 %
2026/09/04 11:35:55.819, NVIDIA GeForce RTX 3090, 270.00 W, 172.18 W, 68, 1820 MiB, 24576 MiB, 19 %
2026/09/04 11:35:57.820, NVIDIA GeForce RTX 3090, 270.00 W, 228.78 W, 74, 4200 MiB, 24576 MiB, 6 %
2026/09/04 11:35:59.820, NVIDIA GeForce RTX 3090, 270.00 W, 235.25 W, 73, 4200 MiB, 24576 MiB, 37 %
2026/09/04 11:36:01.821, NVIDIA GeForce RTX 3090, 270.00 W, 228.72 W, 74, 4704 MiB, 24576 MiB, 29 %
2026/09/04 11:36:03.821, NVIDIA GeForce RTX 3090, 270.00 W, 233.46 W, 73, 4704 MiB, 24576 MiB, 43 %
2026/09/04 11:36:05.822, NVIDIA GeForce RTX 3090, 270.00 W, 219.81 W, 72, 4704 MiB, 24576 MiB, 30 %
2026/09/04 11:36:07.823, NVIDIA GeForce RTX 3090, 270.00 W, 230.96 W, 72, 4704 MiB, 24576 MiB, 17 %
2026/09/04 11:36:09.823, NVIDIA GeForce RTX 3090, 270.00 W, 235.30 W, 72, 4704 MiB, 24576 MiB, 32 %
2026/09/04 11:36:11.824, NVIDIA GeForce RTX 3090, 270.00 W, 228.72 W, 72, 4704 MiB, 24576 MiB, 25 %
2026/09/04 11:36:13.824, NVIDIA GeForce RTX 3090, 270.00 W, 224.09 W, 71, 4704 MiB, 24576 MiB, 6 %
2026/09/04 11:36:15.825, NVIDIA GeForce RTX 3090, 270.00 W, 228.91 W, 72, 4704 MiB, 24576 MiB, 48 %
2026/09/04 11:36:17.826, NVIDIA GeForce RTX 3090, 270.00 W, 235.85 W, 72, 4704 MiB, 24576 MiB, 32 %
2026/09/04 11:36:19.826, NVIDIA GeForce RTX 3090, 270.00 W, 227.24 W, 72, 4704 MiB, 24576 MiB, 49 %
2026/09/04 11:36:21.827, NVIDIA GeForce RTX 3090, 270.00 W, 227.12 W, 73, 4704 MiB, 24576 MiB, 0 %
2026/09/04 11:36:23.828, NVIDIA GeForce RTX 3090, 270.00 W, 219.76 W, 73, 4704 MiB, 24576 MiB, 30 %
2026/09/04 11:36:25.828, NVIDIA GeForce RTX 3090, 270.00 W, 222.79 W, 73, 4704 MiB, 24576 MiB, 0 %
2026/09/04 11:36:27.829, NVIDIA GeForce RTX 3090, 270.00 W, 219.10 W, 73, 4704 MiB, 24576 MiB, 0 %
2026/09/04 11:36:29.829, NVIDIA GeForce RTX 3090, 270.00 W, 212.40 W, 71, 4704 MiB, 24576 MiB, 6 %
2026/09/04 11:36:31.830, NVIDIA GeForce RTX 3090, 270.00 W, 210.80 W, 71, 4704 MiB, 24576 MiB, 36 %
2026/09/04 11:36:33.831, NVIDIA GeForce RTX 3090, 270.00 W, 208.65 W, 71, 4704 MiB, 24576 MiB, 48 %
2026/09/04 11:36:35.831, NVIDIA GeForce RTX 3090, 270.00 W, 218.33 W, 72, 4704 MiB, 24576 MiB, 36 %
2026/09/04 11:36:37.832, NVIDIA GeForce RTX 3090, 270.00 W, 215.15 W, 71, 4704 MiB, 24576 MiB, 31 %
2026/09/04 11:36:39.833, NVIDIA GeForce RTX 3090, 270.00 W, 224.57 W, 72, 4704 MiB, 24576 MiB, 17 %
2026/09/04 11:36:41.833, NVIDIA GeForce RTX 3090, 270.00 W, 220.96 W, 72, 4704 MiB, 24576 MiB, 35 %
2026/09/04 11:36:43.834, NVIDIA GeForce RTX 3090, 270.00 W, 225.88 W, 72, 4704 MiB, 24576 MiB, 48 %
2026/09/04 11:36:45.834, NVIDIA GeForce RTX 3090, 270.00 W, 226.42 W, 72, 4704 MiB, 24576 MiB, 32 %
2026/09/04 11:36:47.835, NVIDIA GeForce RTX 3090, 270.00 W, 228.97 W, 71, 4704 MiB, 24576 MiB, 30 %
2026/09/04 11:36:49.835, NVIDIA GeForce RTX 3090, 270.00 W, 234.12 W, 72, 4704 MiB, 24576 MiB, 27 %
2026/09/04 11:36:51.836, NVIDIA GeForce RTX 3090, 270.00 W, 226.92 W, 71, 4704 MiB, 24576 MiB, 4 %
2026/09/04 11:36:53.837, NVIDIA GeForce RTX 3090, 270.00 W, 231.74 W, 74, 4704 MiB, 24576 MiB, 15 %
2026/09/04 11:36:55.838, NVIDIA GeForce RTX 3090, 270.00 W, 232.18 W, 73, 4704 MiB, 24576 MiB, 48 %
2026/09/04 11:36:57.838, NVIDIA GeForce RTX 3090, 270.00 W, 228.39 W, 73, 4704 MiB, 24576 MiB, 48 %
2026/09/04 11:36:59.839, NVIDIA GeForce RTX 3090, 270.00 W, 221.84 W, 73, 4704 MiB, 24576 MiB, 30 %
2026/09/04 11:37:01.839, NVIDIA GeForce RTX 3090, 270.00 W, 220.93 W, 74, 4704 MiB, 24576 MiB, 34 %
2026/09/04 11:37:03.840, NVIDIA GeForce RTX 3090, 270.00 W, 226.23 W, 73, 4704 MiB, 24576 MiB, 0 %
